_id,movie_id,rating_val,user_id
6799a9c246b053bc7b8d60dd,barbie-as-the-princess-and-the-pauper,10,beccalinda_
6799a9c246b053bc7b8d60de,novitiate,9,beccalinda_
6799a9c246b053bc7b8d60df,hes-just-not-that-into-you,7,beccalinda_
6799a9c246b053bc7b8d60e0,wicked-2024,9,beccalinda_
6799a9c246b053bc7b8d60e1,poseidon,7,beccalinda_
6799a9c246b053bc7b8d60e2,the-substance,7,beccalinda_
6799a9c246b053bc7b8d60e3,cinderella,10,beccalinda_
6799a9c246b053bc7b8d60e4,the-bone-collector,7,beccalinda_
6799a9c246b053bc7b8d60e5,the-princess-diaries-2-royal-engagement,8,beccalinda_
6799a9c246b053bc7b8d60e6,the-princess-diaries,6,beccalinda_
6799a9c246b053bc7b8d60e7,portrait-of-a-lady-on-fire,8,beccalinda_
6799a9c246b053bc7b8d60e8,lez-bomb,1,beccalinda_
6799a9c246b053bc7b8d60e9,the-second-mother,7,beccalinda_
6799a9c246b053bc7b8d60ea,about-fate,7,beccalinda_
6799a9c246b053bc7b8d60eb,the-perfect-man-2005,8,beccalinda_
6799a9c246b053bc7b8d60ec,deadpool-wolverine,4,beccalinda_
6799a9c246b053bc7b8d60ed,badhaai-do,5,beccalinda_
6799a9c246b053bc7b8d60ee,when-in-rome-2010,10,beccalinda_
6799a9c246b053bc7b8d60ef,x-2022,8,beccalinda_
6799a9c246b053bc7b8d60f0,another-cinderella-story,8,beccalinda_
6799a9c246b053bc7b8d60f1,chestnut,3,beccalinda_
6799a9c246b053bc7b8d60f2,bodies-bodies-bodies,1,beccalinda_
6799a9c246b053bc7b8d60f3,inside-out-2-2024,10,beccalinda_
6799a9c246b053bc7b8d60f4,mulan-ii,7,beccalinda_
6799a9c246b053bc7b8d60f5,you-do-you,2,beccalinda_
6799a9c246b053bc7b8d60f6,am-i-ok,5,beccalinda_
6799a9c246b053bc7b8d60f7,3-2003-1,8,beccalinda_
6799a9c246b053bc7b8d60f8,carol-2015,2,beccalinda_
6799a9c246b053bc7b8d60f9,princess-protection-program,10,beccalinda_
6799a9c246b053bc7b8d60fa,mamma-mia,9,beccalinda_
6799a9c246b053bc7b8d60fb,civil-war-2024,8,beccalinda_
6799a9c246b053bc7b8d60fc,love-divided,2,beccalinda_
6799a9c246b053bc7b8d60fd,the-handmaiden,1,beccalinda_
6799a9c246b053bc7b8d60fe,roman-holiday,9,beccalinda_
6799a9c246b053bc7b8d60ff,while-you-were-sleeping,8,beccalinda_
6799a9c246b053bc7b8d6100,life-as-we-know-it,8,beccalinda_
6799a9c246b053bc7b8d6101,practical-magic,7,beccalinda_
6799a9c246b053bc7b8d6102,john-tucker-must-die,8,beccalinda_
6799a9c246b053bc7b8d6103,the-day-after-tomorrow,8,beccalinda_
